+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+
|   δ   |   p   |   7   |   b   |   9   |   6   |   n   |   <   |   i   |   d   |   l   |   +   |   3   |   t   |   r   |   x   |   a   |   m   |   =   |   1   |   >   |   f   |   ^   |   2   |   5   |   w   |   /   |   o   |   0   |   v   |   g   |   s   |   -   |   j   |   y   |   q   |   4   |   e   |   @   |   h   |   z   |   k   |   c   |   u   |   8   |
+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+
| ->171 | [172] | [173] | [174] | [173] | [173] | [175] | [176] | [177] | [175] | [175] | [178] | [173] | [179] | [175] | [175] | [175] | [175] | [180] | [173] | [181] | [175] | [178] | [173] | [173] | [175] | [178] | [175] | [173] | [175] | [175] | [175] | [178] | [175] | [175] | [175] | [173] | [182] | [178] | [175] | [175] | [175] | [175] | [175] | [173] |
|  *172 | [183] | [183] | [183] | [183] | [183] | [183] |   []  | [183] | [183] | [183] |   []  | [183] | [183] | [184] | [183] | [183] | [183] |   []  | [183] |   []  | [183] |   []  | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] | [183] |
|  *173 |   []  | [185] |   []  | [185] | [185] |   []  |   []  |   []  |   []  |   []  |   []  | [185] |   []  |   []  |   []  |   []  |   []  |   []  | [185] |   []  |   []  |   []  | [185] | [185] |   []  |   []  |   []  | [185] |   []  |   []  |   []  |   []  |   []  |   []  |   []  | [185] |   []  |   []  |   []  |   []  |   []  |   []  |   []  | [185] |
|  *174 | [183] | [183] | [183] | [183] | [183] | [183] |   []  | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] | [183] |   []  | [183] |   []  | [183] |   []  | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [186] |   []  | [183] | [183] | [183] | [183] | [183] | [183] |
|  *175 | [183] | [183] | [183] | [183] | [183] | [183] |   []  | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] | [183] |   []  | [183] |   []  | [183] |   []  | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] | [183] |
|  *176 |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  | [187] |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |
|  *177 | [183] | [183] | [183] | [183] | [183] | [183] |   []  | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] | [183] |   []  | [183] |   []  | [188] |   []  | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] | [183] |
|  *178 |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |
|  *179 | [183] | [183] | [183] | [183] | [183] | [183] |   []  | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] | [183] |   []  | [183] |   []  | [183] |   []  | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] |   []  | [189] | [183] | [183] | [183] | [183] | [183] |
|  *180 |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  | [187] |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |
|  181  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  | [187] |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |
|  *182 | [183] | [183] | [183] | [183] | [183] | [190] |   []  | [183] | [183] | [191] |   []  | [183] | [183] | [183] | [183] | [183] | [183] |   []  | [183] |   []  | [183] |   []  | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] | [183] |
|  *183 | [183] | [183] | [183] | [183] | [183] | [183] |   []  | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] | [183] |   []  | [183] |   []  | [183] |   []  | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] | [183] |
|  *184 | [183] | [183] | [183] | [183] | [183] | [183] |   []  | [192] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] | [183] |   []  | [183] |   []  | [183] |   []  | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] | [183] |
|  *185 |   []  | [185] |   []  | [185] | [185] |   []  |   []  |   []  |   []  |   []  |   []  | [185] |   []  |   []  |   []  |   []  |   []  |   []  | [185] |   []  |   []  |   []  | [185] | [185] |   []  |   []  |   []  | [185] |   []  |   []  |   []  |   []  |   []  |   []  |   []  | [185] |   []  |   []  |   []  |   []  |   []  |   []  |   []  | [185] |
|  *186 | [183] | [183] | [183] | [183] | [183] | [183] |   []  | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] | [183] |   []  | [183] |   []  | [183] |   []  | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [193] | [183] |   []  | [183] | [183] | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] | [183] |
|  *187 |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |   []  |
